UEJ,NOMBRE UEJ,RUBRO,TIPO,CTA,"SUB
CTA",OBJ,ORD,"SOR
ORD",ITEM,"SUB
ITEM",FUENTE,REC,SIT,DESCRIPCION,OBLIGACION,ORDEN PAGO,PAGOS
1/01/01,SENADO DE LA REPÚBLICA,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$4,050,000.00","$4,050,000.00","$4,050,000.00"
1/01/01,SENADO DE LA REPÚBLICA,A-1-0-5,A,1,0,5,,,,,Nación,10,CSF,CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO,"$1,966,461,924.00","$1,966,461,924.00","$1,966,461,924.00"
1/01/01,SENADO DE LA REPÚBLICA,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$924,973,848.00","$924,973,848.00","$924,973,848.00"
1/01/01,SENADO DE LA REPÚBLICA,C-0101-1000-2,C,101,1000,2,,,,,Nación,11,CSF,"IMPLEMENTACIÓN DE ESTRATEGIAS DE PARTICIPACIÓN DE LA SOCIEDAD, EN LA ACTIVIDAD LEGISLATIVA DEL SENADO DE LA REPÚBLICA, A NIVEL NACIONAL","$696,150,000.00","$696,150,000.00","$696,150,000.00"
1/01/01,SENADO DE LA REPÚBLICA,C-0199-1000-2,C,199,1000,2,,,,,Nación,11,CSF,"FORTALECIMIENTO Y MODERNIZACIÓN DE LA PLATAFORMA TECNOLÓGICA Y LA GESTIÓN DOCUMENTAL DEL SENADO DE LA REPÚBLICA , , BOGOTÁ","$269,569,861.00","$269,569,861.00","$269,569,861.00"
1/01/01,SENADO DE LA REPÚBLICA,C-0199-1000-4,C,199,1000,4,,,,,Nación,11,CSF,ADECUACIÓN Y MODERNIZACION DE LAS INSTALACIONES FÍSICAS DEL SENADO DE LA REPÚBLICA,"$495,604,035.00","$495,604,035.00","$495,604,035.00"
1/01/02,CÁMARA DE REPRESENTANTES,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$106,966,103.00","$106,966,103.00","$106,966,103.00"
1/01/02,CÁMARA DE REPRESENTANTES,A-1-0-5,A,1,0,5,,,,,Nación,10,CSF,CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO,"$4,914,227,260.00","$4,914,227,260.00","$4,914,227,260.00"
1/01/02,CÁMARA DE REPRESENTANTES,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$3,675,035,413.00","$3,675,035,413.00","$3,675,035,413.00"
1/01/02,CÁMARA DE REPRESENTANTES,A-3-5-3-43,A,3,5,3,43,,,,Nación,10,CSF,SEGURO DE VIDA - SENADORES Y REPRESENTANTES (ART. 389 - LEY 5 DE 1992),"$26,783,197.00","$26,783,197.00","$26,783,197.00"
