UEJ,NOMBRE UEJ,RUBRO,TIPO,CTA,"SUB
CTA",OBJ,ORD,"SOR
ORD",ITEM,"SUB
ITEM",FUENTE,REC,SIT,DESCRIPCION,COMPROMISO,OBLIGACION,ORDEN PAGO,PAGOS
01-01-01,SENADO DE LA REPÚBLICA,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$ 294,235,781.00","$ 207,095,684.00","$ 207,095,684.00","$ 207,095,684.00"
01-01-01,SENADO DE LA REPÚBLICA,A-1-0-5,A,1,0,5,,,,,Nación,10,CSF,CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO,"$ 12,586,162.00","$ 12,586,162.00","$ 12,586,162.00","$ 12,586,162.00"
01-01-01,SENADO DE LA REPÚBLICA,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$ 1,510,940,331.59","$ 1,026,385,027.26","$ 1,026,385,027.26","$ 1,026,385,027.26"
01-01-01,SENADO DE LA REPÚBLICA,A-3-5-3-43,A,3,5,3,43,,,,Nación,10,CSF,SEGURO DE VIDA - SENADORES Y REPRESENTANTES (ART. 389 - LEY 5 DE 1992),"$ 6,801,324.59","$ 6,801,324.59","$ 6,801,324.59","$ 6,801,324.59"
01-01-01,SENADO DE LA REPÚBLICA,C-0101-1000-2,C,0101,1000,2,,,,,Nación,11,CSF,"IMPLEMENTACIÓN DE ESTRATEGIAS DE PARTICIPACIÓN DE LA SOCIEDAD, EN LA ACTIVIDAD LEGISLATIVA DEL SENADO DE LA REPÚBLICA, A NIVEL NACIONAL",$ 0.00,$ 0.00,$ 0.00,$ 0.00
01-01-01,SENADO DE LA REPÚBLICA,C-0199-1000-1,C,0199,1000,1,,,,,Nación,11,CSF,DOTACIÓN DE VEHÍCULOS PARA EL MEJORAMIENTO DE LAS CONDICIONES DE SEGURIDAD Y OPORTUNIDAD EN LOS DESPLAZAMIENTOS DEL SENADO DE LA REPÚBLICA,$ 0.00,$ 0.00,$ 0.00,$ 0.00
01-01-01,SENADO DE LA REPÚBLICA,C-0199-1000-2,C,0199,1000,2,,,,,Nación,11,CSF,"FORTALECIMIENTO Y MODERNIZACIÓN DE LA PLATAFORMA TECNOLÓGICA Y LA GESTIÓN DOCUMENTAL DEL SENADO DE LA REPÚBLICA , , BOGOTÁ","$ 1,026,729,770.90","$ 1,026,729,770.90","$ 1,026,729,770.90","$ 1,026,729,770.90"
01-01-01,SENADO DE LA REPÚBLICA,C-0199-1000-4,C,0199,1000,4,,,,,Nación,11,CSF,ADECUACIÓN Y MODERNIZACION DE LAS INSTALACIONES FÍSICAS DEL SENADO DE LA REPÚBLICA,"$ 62,327,467.00","$ 62,327,467.00","$ 62,327,467.00","$ 62,327,467.00"
01-01-01,SENADO DE LA REPÚBLICA,C-0199-1000-6,C,0199,1000,6,,,,,Nación,11,CSF,MEJORAMIENTO DE LAS CONDICIONES DE SEGURIDAD Y OPORTUNIDAD EN LOS DESPLAZAMIENTOS DE LOS SERVIDORES PUBLICOS DEL SENADO DE LA REPUBLICA NACIONAL,$ 0.00,$ 0.00,$ 0.00,$ 0.00
01-01-02,CÁMARA DE REPRESENTANTES,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$ 301,102,169.00","$ 301,102,169.00","$ 301,102,169.00","$ 301,102,169.00"
01-01-02,CÁMARA DE REPRESENTANTES,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$ 390,959,492.00","$ 390,959,492.00","$ 390,959,492.00","$ 390,959,492.00"
