Niv1,Niv2,Niv3,Niv4,Num,Con,,Des1,,Des2,Des3,Des4,Des5,Des6,Des7,Des8,Des9,Des10,Des11,Des12,Des13,Des14,Descripción,AFORO INICIAL,,,MODIFICACIONES AFORO,AFORO VIGENTE,,,RECAUDO EN EFECTIVO MES,,RECAUDO EN EFECTIVO ACUMULADO,DEVOLUCIONES PAGADAS ACUMULADAS,,,,RECAUDO EN EFECTIVO ACUMULADO NETO,SALDO DE AFORO POR RECAUDAR
1,,,,,,,,,,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,"139.987.878.000.000,00",,,"-1.880.003.055.346,00","138.107.874.944.654,00",,,"7.826.725.930.101,44",,"132.690.424.360.555,66","591.011.923.633,24",,,,"132.099.412.436.922,42","6.008.462.507.731,58"
1,1,,,,,,,,,,,,,,,,,,,,,INGRESOS TRIBUTARIOS,"139.248.016.000.000,00",,,"-1.880.003.055.346,00","137.368.012.944.654,00",,,"7.790.957.918.579,00",,"132.366.103.735.952,00","590.401.186.230,00",,,,"131.775.702.549.722,00","5.592.310.394.932,00"
1,1,1,,,,,,,,,,,,,,,,,,,,IMPUESTOS DIRECTOS,"61.595.944.000.000,00",,,"-959.804.803.258,00","60.636.139.196.742,00",,,"3.913.464.496.538,00",,"61.144.733.024.303,00","144.357.421.256,00",,,,"61.000.375.603.047,00","-364.236.406.305,00"
1,1,1,0,,,,,,,,,,,,,,,,,,,IMPUESTOS DIRECTOS,"61.595.944.000.000,00",,,"-959.804.803.258,00","60.636.139.196.742,00",,,"3.913.464.496.538,00",,"61.144.733.024.303,00","144.357.421.256,00",,,,"61.000.375.603.047,00","-364.236.406.305,00"
1,1,1,0,1,,,,,,,,,,,,,,,,,,IMPUESTOS SOBRE LA RENTA Y COMPLEMENTARIOS,"61.595.944.000.000,00",,,"-959.804.803.258,00","60.636.139.196.742,00",,,"3.905.167.167.260,00",,"60.631.997.153.380,00","144.130.818.256,00",,,,"60.487.866.335.124,00","148.272.861.618,00"
1,1,1,0,1,1,,,,,,,,,,,,,,,,,CUOTA  IMPUESTO DE RENTA Y COMPLEMENTARIOS   ,"0,00",,,"0,00","0,00",,,"132.005.309.428,00",,"17.119.029.357.255,00","134.584.378.086,00",,,,"16.984.444.979.169,00","-16.984.444.979.169,00"
1,1,1,0,1,2,,,,,,,,,,,,,,,,,RETENCIONES IMPUESTO SOBRE LA RENTA Y COMPLEMENTARIOS,"0,00",,,"0,00","0,00",,,"3.773.161.857.832,00",,"43.512.967.796.125,00","9.546.440.170,00",,,,"43.503.421.355.955,00","-43.503.421.355.955,00"
1,1,1,0,3,,,,,,,,,,,,,,,,,,IMPUESTO PARA PRESERVAR LA SEGURIDAD DEMOCRATICA,"0,00",,,"0,00","0,00",,,"702.000,00",,"26.730.930,00","0,00",,,,"26.730.930,00","-26.730.930,00"
1,1,1,0,3,1,,,,,,,,,,,,,,,,,IMPUESTO PARA PRESERVAR LA SEGURIDAD DEMOCRATICA,"0,00",,,"0,00","0,00",,,"702.000,00",,"26.730.930,00","0,00",,,,"26.730.930,00","-26.730.930,00"
1,1,1,0,4,,,,,,,,,,,,,,,,,,IMPUESTO AL PATRIMONIO,"0,00",,,"0,00","0,00",,,"2.040.035.484,00",,"17.299.701.648,00","119.842.000,00",,,,"17.179.859.648,00","-17.179.859.648,00"
1,1,1,0,4,1,,,,,,,,,,,,,,,,,IMPUESTO AL PATRIMONIO,"0,00",,,"0,00","0,00",,,"2.040.035.484,00",,"17.299.701.648,00","119.842.000,00",,,,"17.179.859.648,00","-17.179.859.648,00"
1,1,1,0,5,,,,,,,,,,,,,,,,,,IMPUESTO AL PATRIMONIO (DECRETO LEGISLATIVO 4825/2010),"0,00",,,"0,00","0,00",,,"0,00",,"1.270.948.330,00","0,00",,,,"1.270.948.330,00","-1.270.948.330,00"
1,1,1,0,5,1,,,,,,,,,,,,,,,,,IMPUESTO AL PATRIMONIO (DECRETO LEGISLATIVO 4825/2010),"0,00",,,"0,00","0,00",,,"0,00",,"1.270.948.330,00","0,00",,,,"1.270.948.330,00","-1.270.948.330,00"
1,1,1,0,6,,,,,,,,,,,,,,,,,,SOBRETASA IMPUESTO AL PATRIMONIO (DECRETO LEGISLATIVO 4825/2010),"0,00",,,"0,00","0,00",,,"0,00",,"1.538.262.273,00","0,00",,,,"1.538.262.273,00","-1.538.262.273,00"
1,1,1,0,6,1,,,,,,,,,,,,,,,,,SOBRETASA IMPUESTO AL PATRIMONIO (DECRETO LEGISLATIVO 4825/2010),"0,00",,,"0,00","0,00",,,"0,00",,"1.538.262.273,00","0,00",,,,"1.538.262.273,00","-1.538.262.273,00"
1,1,1,0,7,,,,,,,,,,,,,,,,,,IMPUESTO A LA RIQUEZA,"0,00",,,"0,00","0,00",,,"6.256.591.794,00",,"492.591.626.047,00","106.761.000,00",,,,"492.484.865.047,00","-492.484.865.047,00"
1,1,1,0,7,1,,,,,,,,,,,,,,,,,DECLARACIONES IMPUESTO A LA RIQUEZA,"0,00",,,"0,00","0,00",,,"6.256.591.794,00",,"492.591.626.047,00","106.761.000,00",,,,"492.484.865.047,00","-492.484.865.047,00"
1,1,1,0,9,,,,,,,,,,,,,,,,,,MONOTRIBUTO,"0,00",,,"0,00","0,00",,,"0,00",,"8.601.695,00","0,00",,,,"8.601.695,00","-8.601.695,00"
1,1,1,0,9,1,,,,,,,,,,,,,,,,,MONOTRIBUTO,"0,00",,,"0,00","0,00",,,"0,00",,"8.601.695,00","0,00",,,,"8.601.695,00","-8.601.695,00"
1,1,2,,,,,,,,,,,,,,,,,,,,IMPUESTOS INDIRECTOS,"77.652.072.000.000,00",,,"-920.198.252.088,00","76.731.873.747.912,00",,,"3.877.493.422.041,00",,"71.221.370.711.649,00","446.043.764.974,00",,,,"70.775.326.946.675,00","5.956.546.801.237,00"
1,1,2,0,,,,,,,,,,,,,,,,,,,IMPUESTOS INDIRECTOS,"77.652.072.000.000,00",,,"-920.198.252.088,00","76.731.873.747.912,00",,,"3.877.493.422.041,00",,"71.221.370.711.649,00","446.043.764.974,00",,,,"70.775.326.946.675,00","5.956.546.801.237,00"
1,1,2,0,1,,,,,,,,,,,,,,,,,,IMPUESTO SOBRE ADUANAS Y RECARGOS,"4.382.899.000.000,00",,,"0,00","4.382.899.000.000,00",,,"2.066.343.765.229,00",,"20.972.519.160.565,00","1.498.558.291,00",,,,"20.971.020.602.274,00","-16.588.121.602.274,00"
