UEJ;NOMBRE UEJ;RUBRO;TIPO;CTA;"SUB
CTA";OBJ;ORD;"SOR
ORD";ITEM;"SUB
ITEM";FUENTE;REC;SIT;DESCRIPCION;OBLIGACION;ORDEN PAGO;PAGOS
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;A-1-0-1-999;A;1;0;1;999;;;;Nación;10;CSF;PAGOS PASIVOS EXIGIBLES VIGENCIA EXPIRADAS;$ 3.134.474.333,00;$ 3.134.474.333,00;$ 3.134.474.333,00
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;A-1-0-2;A;1;0;2;;;;;Nación;10;CSF;SERVICIOS PERSONALES INDIRECTOS;$ 189.443.684,00;$ 189.443.684,00;$ 189.443.684,00
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;A-2-0-4;A;2;0;4;;;;;Nación;10;CSF;ADQUISICION DE BIENES Y SERVICIOS;$ 1.155.565.718,39;$ 1.155.565.718,39;$ 1.155.565.718,39
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;C-223-1000-2;C;223;1000;2;;;;;Nación;11;CSF;DOTACIÓN DE VEHÍCULOS PARA EL MEJORAMIENTO DE LAS CONDICIONES DE SEGURIDAD Y OPORTUNIDAD EN LOS DESPLAZAMIENTOS DEL SENADO DE LA REPÚBLICA;$ 336.918.916,00;$ 336.918.916,00;$ 336.918.916,00
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;C-223-1000-5;C;223;1000;5;;;;;Nación;11;CSF;AMPLIACIÓN Y ACTUALIZACIÓN DEL SISTEMA INTEGRADO DE SEGURIDAD DEL CONGRESO DE LA REPÚBLICA;$ 141.900.592,00;$ 141.900.592,00;$ 141.900.592,00
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;C-223-1000-6;C;223;1000;6;;;;;Nación;11;CSF;ADECUACION Y MODERNIZACION DE LAS INSTALACIONES FISICAS DEL SENADO DE LA REPUBLICA;$ 1.756.419.684,73;$ 1.756.419.684,73;$ 1.756.419.684,73
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;C-520-1000-1;C;520;1000;1;;;;;Nación;11;CSF;IMPLANTACION DE ESTRATEGIAS DE INFORMACION ENTRE LA SOCIEDAD Y LA MESA DE NEGOCIACION EN EL MARCO DEL PROCESO DE PAZ A NIVEL NACIONAL E INTERNACIONAL.;$ 464.205.767,00;$ 464.205.767,00;$ 464.205.767,00
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;C-520-1000-2;C;520;1000;2;;;;;Nación;11;CSF;FORTALECIMIENTO Y MODERNIZACIÓN DE LA PLATAFORMA TECNOLÓGICA Y LA GESTIÓN DOCUMENTAL DEL SENADO DE LA REPÚBLICA , , BOGOTÁ;$ 783.225.202,52;$ 783.225.202,52;$ 783.225.202,52
01-01-02;CONGRESO DE LA REPUBLICA - CAMARA DE REPRESENTANTES - GESTION GENERAL;A-1-0-2;A;1;0;2;;;;;Nación;10;CSF;SERVICIOS PERSONALES INDIRECTOS;$ 218.296.542,00;$ 218.296.542,00;$ 218.296.542,00
01-01-02;CONGRESO DE LA REPUBLICA - CAMARA DE REPRESENTANTES - GESTION GENERAL;A-1-0-5;A;1;0;5;;;;;Nación;10;CSF;CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO;$ 856.015,00;$ 856.015,00;$ 856.015,00
