UEJ;NOMBRE UEJ;RUBRO;TIPO;CTA;"SUB
CTA";OBJ;ORD;"SOR
ORD";ITEM;"SUB
ITEM";FUENTE;REC;SIT;DESCRIPCION;COMPROMISO;OBLIGACION;ORDEN PAGO;PAGOS
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;A-1-0-2;A;1;0;2;;;;;Nación;10;CSF;SERVICIOS PERSONALES INDIRECTOS;$ 155.088.051,00;$ 104.123.801,00;$ 104.123.801,00;$ 104.123.801,00
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;A-2-0-4;A;2;0;4;;;;;Nación;10;CSF;ADQUISICION DE BIENES Y SERVICIOS;$ 726.732.532,24;$ 693.872.766,00;$ 693.872.766,00;$ 693.872.766,00
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;C-223-1000-6;C;223;1000;6;;;;;Nación;11;CSF;ADECUACION Y MODERNIZACION DE LAS INSTALACIONES FISICAS DEL SENADO DE LA REPUBLICA;$ 1.409.234.989,74;$ 1.409.234.989,00;$ 1.349.421.905,00;$ 1.349.421.905,00
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;C-520-1000-2;C;520;1000;2;;;;;Nación;11;CSF;FORTALECIMIENTO Y MODERNIZACIÓN DE LA PLATAFORMA TECNOLÓGICA Y LA GESTIÓN DOCUMENTAL DEL SENADO DE LA REPÚBLICA , , BOGOTÁ;$ 71.212.500,00;$ 71.212.500,00;$ 71.212.500,00;$ 71.212.500,00
01-01-01;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;C-520-1000-3;C;520;1000;3;;;;;Nación;11;CSF;MODERNIZACIÓN Y OPTIMIZACIÓN DEL MODELO DE GESTIÓN DEL SENADO DE LA REPÚBLICA, BOGOTA;$ 30.000.000,00;$ 30.000.000,00;$ 30.000.000,00;$ 30.000.000,00
01-01-02;CONGRESO DE LA REPUBLICA - CAMARA DE REPRESENTANTES - GESTION GENERAL;A-1-0-2;A;1;0;2;;;;;Nación;10;CSF;SERVICIOS PERSONALES INDIRECTOS;$ 110.701.213,00;$ 110.701.213,00;$ 110.701.213,00;$ 110.701.213,00
01-01-02;CONGRESO DE LA REPUBLICA - CAMARA DE REPRESENTANTES - GESTION GENERAL;A-2-0-4;A;2;0;4;;;;;Nación;10;CSF;ADQUISICION DE BIENES Y SERVICIOS;$ 104.206.500,00;$ 104.206.500,00;$ 104.206.500,00;$ 104.206.500,00
01-01-02;CONGRESO DE LA REPUBLICA - CAMARA DE REPRESENTANTES - GESTION GENERAL;A-3-6-1-1;A;3;6;1;1;;;;Nación;10;CSF;SENTENCIAS Y CONCILIACIONES;$ 193.305.000,00;$ 193.305.000,00;$ 193.305.000,00;$ 193.305.000,00
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;A-1-0-2;A;1;0;2;;;;;Nación;10;CSF;SERVICIOS PERSONALES INDIRECTOS;$ 123.286.248,00;$ 123.286.248,00;$ 123.286.248,00;$ 123.286.248,00
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;A-2-0-4;A;2;0;4;;;;;Nación;10;CSF;ADQUISICION DE BIENES Y SERVICIOS;$ 673.669.085,77;$ 673.669.085,77;$ 673.669.085,77;$ 673.669.085,77
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;A-3-1-1-11;A;3;1;1;11;;;;Nación;10;CSF;FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ : PROGRAMA DESMOVILIZADOS;$ 70.551.012,21;$ 70.551.012,21;$ 70.551.012,21;$ 70.551.012,21
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;A-3-1-1-18;A;3;1;1;18;;;;Nación;10;CSF;PLAN DE PROMOCION DE COLOMBIA EN EL EXTERIOR;$ 34.307.396,74;$ 34.307.396,74;$ 34.307.396,74;$ 34.307.396,74
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;A-3-6-3-69;A;3;6;3;69;;;;Nación;10;CSF;TRANSFERENCIAS PARA LA ESTRATEGIA  DE DIFUSION DE LA GESTION GUBERNAMENTAL PARA EL DESARROLLO SOCIAL  Y COMUNITARIO;$ 13.615.549,87;$ 13.615.549,87;$ 13.615.549,87;$ 13.615.549,87
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;C-113-1000-5;C;113;1000;5;;;;;Nación;11;CSF;ADECUACIÓN Y MANTENIMIENTO DE LAS SEDES DE LA PRESIDENCIA DE LA REPÚBLICA;$ 2.566.836.934,63;$ 2.539.805.117,97;$ 2.539.805.117,97;$ 2.539.805.117,97
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;C-223-1000-2;C;223;1000;2;;;;;Nación;11;CSF;INNOVACIÓN PARA MEJORAR LA INTEGRIDAD, DISPONIBILIDAD Y CONFIDENCIALIDAD DE LA INFORMACIÓN DE TICS A NIVEL NACIONAL;$ 38.005.640,67;$ 38.005.640,67;$ 38.005.640,67;$ 38.005.640,67
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;C-520-1000-51;C;520;1000;51;;;;;Nación;11;CSF;FORTALECIMIENTO ACCION INTEGRAL CONTRA MINAS ANTIPERSONAL NACIONAL;$ 1.776.562,00;$ 1.776.562,00;$ 1.776.562,00;$ 1.776.562,00
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;C-520-1000-51;C;520;1000;51;;;;;Nación;15;SSF;FORTALECIMIENTO ACCION INTEGRAL CONTRA MINAS ANTIPERSONAL NACIONAL;$ 663.063.469,27;$ 541.837.038,24;$ 541.837.038,24;$ 541.837.038,24
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;C-520-1000-56;C;520;1000;56;;;;;Nación;11;CSF;IMPLANTACIÓN DE  PROGRAMAS ESPECIALES PARA LA PAZ. LEY 368/97 –  ACCIONES Y ACTIVIDADES DE PAZ. NACIONAL;$ 1.662.563.274,00;$ 1.662.563.274,00;$ 1.662.563.274,00;$ 1.662.563.274,00
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;C-520-1000-64;C;520;1000;64;;;;;Nación;11;CSF;FORTALECIMIENTO Y SOSTENIBILIDAD DE LAS CAPACIDADES INSTITUCIONALES Y TERRITORIALES PARA LA IMPLEMENTACIÓN DE LA POLÍTICA DE ACCIÓN INTEGRAL CONTRA MINAS ANTIPERSONAL;$ 111.478.658,00;$ 111.478.658,00;$ 111.478.658,00;$ 111.478.658,00
02-01-01;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;C-520-1500-15;C;520;1500;15;;;;;Nación;11;CSF;IMPLEMENTACIÓN DE ESTRATEGIAS DE ASISTENCIA TECNICA PARA EL FORTALECIMIENTO INSTITUCIONAL EN ASUNTOS DE GENERO A NIVEL NACIONAL;$ 237.304.957,68;$ 237.304.957,68;$ 237.304.957,68;$ 237.304.957,68
02-11-00;UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES;A-1-0-2;A;1;0;2;;;;;Nación;10;CSF;SERVICIOS PERSONALES INDIRECTOS;$ 5.193.333,00;$ 5.193.333,00;$ 5.193.333,00;$ 5.193.333,00
