UEJ;NOMBRE UEJ;RUBRO;TIPO;CTA;"SUB
CTA";OBJ;ORD;"SOR
ORD";ITEM;"SUB
ITEM";FUENTE;REC;SIT;DESCRIPCION;APR. INICIAL;APR. ADICIONADA;APR. REDUCIDA;APR. VIGENTE;APR BLOQUEADA;CDP;APR. DISPONIBLE;COMPROMISO;OBLIGACION;ORDEN PAGO;PAGOS
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;1;0;1;1;;;;Nación;10;C;SUELDOS DE PERSONAL DE NOMINA; 	57.415.000.000 ; 	4.150.000.000 ; 	2.100.000.000 ; 	59.465.000.000 ; 	-   ; 	59.372.933.593 ; 	92.066.407 ; 	59.372.933.593 ; 	59.372.933.593 ; 	59.372.933.593 ; 	59.372.933.593 
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;1;0;1;4;;;;Nación;10;C;PRIMA TECNICA; 	2.278.000.000 ; 	-   ; 	130.000.000 ; 	2.148.000.000 ; 	-   ; 	2.130.636.375 ; 	17.363.625 ; 	2.130.636.375 ; 	2.130.636.375 ; 	2.130.636.375 ; 	2.130.636.375 
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;1;0;1;5;;;;Nación;10;C;OTROS; 	40.647.000.000 ; 	4.300.000.000 ; 	1.550.000.000 ; 	43.397.000.000 ; 	-   ; 	43.295.706.321 ; 	101.293.679 ; 	43.295.706.321 ; 	43.295.706.321 ; 	43.295.706.321 ; 	43.295.706.321 
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;1;0;1;8;;;;Nación;10;C;OTROS GASTOS PERSONALES - DISTRIBUCION PREVIO CONCEPTO DGPPN; 	-   ; 	12.216.000.000 ; 	10.376.000.000 ; 	1.840.000.000 ; 	-   ; 	-   ; 	1.840.000.000 ; 	-   ; 	-   ; 	-   ; 	-   
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;1;0;1;9;;;;Nación;10;C;HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES; 	-   ; 	500.000.000 ; 	-   ; 	500.000.000 ; 	-   ; 	436.727.521 ; 	63.272.479 ; 	436.727.521 ; 	436.727.521 ; 	436.727.521 ; 	436.727.521 
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;1;0;1;999;;;;Nación;10;C;PAGOS PASIVOS EXIGIBLES VIGENCIA EXPIRADAS; 	-   ; 	56.000.000 ; 	-   ; 	56.000.000 ; 	-   ; 	55.620.955 ; 	379.045 ; 	55.620.955 ; 	55.620.955 ; 	55.620.955 ; 	55.620.955 
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;1;0;2;;;;;Nación;10;C;SERVICIOS PERSONALES INDIRECTOS; 	6.035.340.000 ; 	7.994.660.000 ; 	-   ; 	14.030.000.000 ; 	-   ; 	13.924.780.866 ; 	105.219.134 ; 	13.924.780.866 ; 	13.613.710.272 ; 	13.553.281.345 ; 	13.553.281.345 
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;1;0;5;;;;;Nación;10;C;CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO; 	35.849.000.000 ; 	2.000.000.000 ; 	1.144.660.000 ; 	36.704.340.000 ; 	-   ; 	36.380.406.634 ; 	323.933.366 ; 	36.380.406.634 ; 	36.378.845.214 ; 	36.378.459.142 ; 	36.378.459.142 
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;2;0;3;;;;;Nación;10;C;IMPUESTOS Y MULTAS; 	364.000.000 ; 	-   ; 	33.786.823 ; 	330.213.177 ; 	-   ; 	297.250.000 ; 	32.963.177 ; 	297.250.000 ; 	297.250.000 ; 	297.250.000 ; 	297.250.000 
10101;CONGRESO DE LA REPUBLICA  SENADO GESTION GENERAL;VIGENCIA AC;A;2;0;4;;;;;Nación;10;C;ADQUISICION DE BIENES Y SERVICIOS; 	27.501.400.000 ; 	3.300.000.000 ; 	171.652.020 ; 	30.629.747.980 ; 	-   ; 	30.492.473.191 ; 	137.274.789 ; 	30.492.473.191 ; 	28.756.918.840 ; 	28.220.400.848 ; 	28.220.400.848 
