Tabla 1
Año Fiscal:;2017;;;;;;;;;;;;;;;;
Vigencia:;Cuentas x Pagar;;;;;;;;;;;;;;;;
Periodo:;Enero-Diciembre;;;;;;;;;;;;;;;;
UEJ;NOMBRE UEJ;RUBRO;TIPO;CTA;"SUB
CTA";OBJ;ORD;"SOR
ORD";ITEM;"SUB
ITEM";FUENTE;REC;SIT;DESCRIPCION;OBLIGACION;ORDEN PAGO;PAGOS
01-01-01;SENADO DE LA REPÚBLICA;A-1-0-2;A;1;0;2;;;;;Nación;10;CSF;SERVICIOS PERSONALES INDIRECTOS;$ 60.428.927,00;$ 60.428.927,00;$ 60.428.927,00
01-01-01;SENADO DE LA REPÚBLICA;A-1-0-5;A;1;0;5;;;;;Nación;10;CSF;CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO;$ 386.072,00;$ 386.072,00;$ 386.072,00
01-01-01;SENADO DE LA REPÚBLICA;A-2-0-4;A;2;0;4;;;;;Nación;10;CSF;ADQUISICION DE BIENES Y SERVICIOS;$ 536.517.992,00;$ 536.517.992,00;$ 536.517.992,00
01-01-01;SENADO DE LA REPÚBLICA;A-2-0-4-999;A;2;0;4;999;;;;Nación;10;CSF;PAGOS PASIVOS EXIGIBLES VIGENCIA EXPIRADAS;$ 660.000,00;$ 660.000,00;$ 660.000,00
01-01-01;SENADO DE LA REPÚBLICA;A-3-4-1-114;A;3;4;1;114;;;;Nación;10;CSF;UNION INTERPARLAMENTARIA (LEY 204/95);$ 24.435.127,76;$ 24.435.127,76;$ 24.435.127,76
01-01-01;SENADO DE LA REPÚBLICA;C-113-1000-3;C;113;1000;3;;;;;Nación;11;CSF;RESTAURACION CAPITOLIO NACIONAL Y CASA DEL PROCER JOSE NICOLAS DE RIVAS BOGOTA D.C. - PAGOS PASIVOS EXIGIBLES VIGENCIA EXPIRADA;$ 93.434.879,00;$ 93.434.879,00;$ 93.434.879,00
01-01-01;SENADO DE LA REPÚBLICA;C-113-1000-3;C;113;1000;3;;;;;Nación;13;CSF;RESTAURACION CAPITOLIO NACIONAL Y CASA DEL PROCER JOSE NICOLAS DE RIVAS BOGOTA D.C. - PAGOS PASIVOS EXIGIBLES VIGENCIA EXPIRADA;$ 22.654.228,00;$ 22.654.228,00;$ 22.654.228,00
01-01-01;SENADO DE LA REPÚBLICA;C-520-1000-1;C;520;1000;1;;;;;Nación;11;CSF;IMPLANTACION DE ESTRATEGIAS DE INFORMACION ENTRE LA SOCIEDAD Y LA MESA DE NEGOCIACION EN EL MARCO DEL PROCESO DE PAZ A NIVEL NACIONAL E INTERNACIONAL.;$ 591.069.698,00;$ 591.069.698,00;$ 591.069.698,00
01-01-01;SENADO DE LA REPÚBLICA;C-520-1000-1;C;520;1000;1;;;;;Nación;13;CSF;IMPLANTACION DE ESTRATEGIAS DE INFORMACION ENTRE LA SOCIEDAD Y LA MESA DE NEGOCIACION EN EL MARCO DEL PROCESO DE PAZ A NIVEL NACIONAL E INTERNACIONAL.;$ 46.043.801,00;$ 46.043.801,00;$ 46.043.801,00
01-01-01;SENADO DE LA REPÚBLICA;C-520-1000-2;C;520;1000;2;;;;;Nación;11;CSF;FORTALECIMIENTO Y MODERNIZACIÓN DE LA PLATAFORMA TECNOLÓGICA Y LA GESTIÓN DOCUMENTAL DEL SENADO DE LA REPÚBLICA , , BOGOTÁ;$ 500.000.000,00;$ 500.000.000,00;$ 500.000.000,00
