Tabla 1
UEJ;NOMBRE UEJ;RUBRO;TIPO;CTA;"SUB
CTA";OBJ;ORD;"SOR
ORD";ITEM;"SUB
ITEM";FUENTE;REC;SIT;DESCRIPCION;APR. INICIAL;APR. ADICIONADA;APR. REDUCIDA;APR. VIGENTE;APR BLOQUEADA;CDP;APR. DISPONIBLE;COMPROMISO;OBLIGACION;ORDEN PAGO;PAGOS
10101;SENADO DE LA REPÚBLICA;;A;1;0;1;1;;;;Nación;10;C;SUELDOS DE PERSONAL DE NOMINA; 	60.897.985.602 ; 	2.450.000.000 ; 	-   ; 	63.347.985.602 ; 	-   ; 	63.240.442.983 ; 	107.542.619 ; 	63.240.442.983 ; 	63.240.442.983 ; 	63.240.442.983 ; 	63.240.442.983 
10101;SENADO DE LA REPÚBLICA;;A;1;0;1;4;;;;Nación;10;C;PRIMA TECNICA; 	2.385.758.477 ; 	-   ; 	140.000.000 ; 	2.245.758.477 ; 	-   ; 	2.191.734.114 ; 	54.024.363 ; 	2.191.734.114 ; 	2.191.734.114 ; 	2.191.734.114 ; 	2.191.734.114 
10101;SENADO DE LA REPÚBLICA;;A;1;0;1;5;;;;Nación;10;C;OTROS; 	43.551.204.319 ; 	8.650.000.000 ; 	6.700.000.000 ; 	45.501.204.319 ; 	-   ; 	45.221.699.802 ; 	279.504.517 ; 	45.221.699.802 ; 	45.221.699.802 ; 	45.221.699.802 ; 	45.221.699.802 
10101;SENADO DE LA REPÚBLICA;;A;1;0;1;8;;;;Nación;10;C;OTROS GASTOS PERSONALES - DISTRIBUCION PREVIO CONCEPTO DGPPN; 	-   ; 	15.347.000.000 ; 	15.347.000.000 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
10101;SENADO DE LA REPÚBLICA;;A;1;0;1;9;;;;Nación;10;C;HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES; 	-   ; 	500.000.000 ; 	50.000.000 ; 	450.000.000 ; 	-   ; 	361.653.957 ; 	88.346.043 ; 	361.653.957 ; 	361.653.957 ; 	361.653.957 ; 	361.653.957 
10101;SENADO DE LA REPÚBLICA;;A;1;0;2;;;;;Nación;10;C;SERVICIOS PERSONALES INDIRECTOS; 	5.446.894.350 ; 	10.000.000.000 ; 	-   ; 	15.446.894.350 ; 	-   ; 	15.413.568.318 ; 	33.326.032 ; 	15.413.568.318 ; 	15.064.389.951 ; 	15.060.339.951 ; 	15.060.339.951 
10101;SENADO DE LA REPÚBLICA;;A;1;0;5;;;;;Nación;10;C;CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO; 	34.638.579.281 ; 	9.137.000.000 ; 	4.000.000.000 ; 	39.775.579.281 ; 	-   ; 	39.017.619.544 ; 	757.959.737 ; 	39.017.619.544 ; 	39.005.033.382 ; 	37.038.571.458 ; 	37.038.571.458 
10101;SENADO DE LA REPÚBLICA;;A;2;0;3;;;;;Nación;10;C;IMPUESTOS Y MULTAS; 	364.000.000 ; 	-   ; 	-   ; 	364.000.000 ; 	-   ; 	333.632.500 ; 	30.367.500 ; 	333.632.500 ; 	333.632.500 ; 	333.632.500 ; 	333.632.500 
10101;SENADO DE LA REPÚBLICA;;A;2;0;4;;;;;Nación;10;C;ADQUISICION DE BIENES Y SERVICIOS; 	29.370.013.500 ; 	1.442.549.939 ; 	-   ; 	30.812.563.439 ; 	-   ; 	30.504.875.715 ; 	307.687.723 ; 	30.504.875.715 ; 	28.986.728.280 ; 	28.061.754.432 ; 	28.061.754.432 
10101;SENADO DE LA REPÚBLICA;;A;3;2;1;1;;;;Nación;10;C;CUOTA DE AUDITAJE CONTRANAL; 	-   ; 	2.264.646 ; 	2.264.646 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
10101;SENADO DE LA REPÚBLICA;;A;3;2;1;1;;;;Nación;10;S;CUOTA DE AUDITAJE CONTRANAL; 	-   ; 	2.264.646 ; 	-   ; 	2.264.646 ; 	-   ; 	2.264.646 ; 	-   ; 	2.264.646 ; 	2.264.646 ; 	2.264.646 ; 	2.264.646 
