UEJ,NOMBRE UEJ,RUBRO,TIPO,CTA,"SUB
CTA",OBJ,ORD,"SOR
ORD",ITEM,"SUB
ITEM",FUENTE,REC,SIT,DESCRIPCION,APR. INICIAL,APR. ADICIONADA,APR. REDUCIDA,APR. VIGENTE,APR BLOQUEADA,CDP,APR. DISPONIBLE,COMPROMISO,OBLIGACION,ORDEN PAGO,PAGOS
01-01-01,SENADO DE LA REPÚBLICA,A-1-0-1-1,A,1,0,1,1,,,,Nación,10,CSF,SUELDOS DE PERSONAL DE NOMINA,"$ 65,108,055,984.00","$ 1,220,000,000.00",$ 0.00,"$ 66,328,055,984.00",$ 0.00,"$ 66,319,474,022.00","$ 8,581,962.00","$ 66,319,474,022.00","$ 66,319,474,022.00","$ 66,319,474,022.00","$ 66,319,474,022.00"
01-01-01,SENADO DE LA REPÚBLICA,A-1-0-1-4,A,1,0,1,4,,,,Nación,10,CSF,PRIMA TECNICA,"$ 2,557,547,392.00",$ 0.00,"$ 85,387,964.00","$ 2,472,159,428.00",$ 0.00,"$ 2,090,857,229.00","$ 381,302,199.00","$ 2,090,857,229.00","$ 2,090,857,229.00","$ 2,090,857,229.00","$ 2,090,857,229.00"
01-01-01,SENADO DE LA REPÚBLICA,A-1-0-1-5,A,1,0,1,5,,,,Nación,10,CSF,OTROS,"$ 46,509,522,810.00","$ 7,396,000,000.00","$ 5,900,000,000.00","$ 48,005,522,810.00",$ 0.00,"$ 47,194,932,009.00","$ 810,590,801.00","$ 47,194,932,009.00","$ 47,194,932,009.00","$ 47,194,932,009.00","$ 47,194,932,009.00"
01-01-01,SENADO DE LA REPÚBLICA,A-1-0-1-9,A,1,0,1,9,,,,Nación,10,CSF,"HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES","$ 561,000,000.00","$ 1,200,000,000.00",$ 0.00,"$ 1,761,000,000.00",$ 0.00,"$ 1,544,885,320.00","$ 216,114,680.00","$ 1,544,885,320.00","$ 1,544,885,320.00","$ 1,544,885,320.00","$ 1,544,885,320.00"
01-01-01,SENADO DE LA REPÚBLICA,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$ 5,610,301,181.00","$ 10,620,000,000.00",$ 0.00,"$ 16,230,301,181.00",$ 0.00,"$ 16,213,384,812.00","$ 16,916,369.00","$ 14,613,384,812.00","$ 14,354,001,157.00","$ 14,354,001,157.00","$ 14,354,001,157.00"
01-01-01,SENADO DE LA REPÚBLICA,A-1-0-5,A,1,0,5,,,,,Nación,10,CSF,CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO,"$ 40,380,488,845.00","$ 5,809,000,000.00","$ 2,300,000,000.00","$ 43,889,488,845.00",$ 0.00,"$ 42,030,993,739.46","$ 1,858,495,105.54","$ 42,030,993,739.46","$ 42,019,780,408.00","$ 42,019,780,408.00","$ 42,019,780,408.00"
01-01-01,SENADO DE LA REPÚBLICA,A-2-0-3,A,2,0,3,,,,,Nación,10,CSF,IMPUESTOS Y MULTAS,"$ 374,920,000.00",$ 0.00,"$ 48,708,000.00","$ 326,212,000.00",$ 0.00,"$ 324,986,000.00","$ 1,226,000.00","$ 324,986,000.00","$ 324,986,000.00","$ 324,986,000.00","$ 324,986,000.00"
01-01-01,SENADO DE LA REPÚBLICA,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$ 29,870,013,500.00","$ 1,079,647,903.00",$ 0.00,"$ 30,949,661,403.00",$ 0.00,"$ 30,846,362,828.25","$ 103,298,574.75","$ 30,846,362,828.25","$ 27,826,166,969.05","$ 27,826,166,969.05","$ 27,826,166,969.05"
01-01-01,SENADO DE LA REPÚBLICA,A-3-2-1-1,A,3,2,1,1,,,,Nación,10,CSF,CUOTA DE AUDITAJE CONTRANAL,$ 0.00,"$ 85,387,964.00","$ 85,387,964.00",$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00
01-01-01,SENADO DE LA REPÚBLICA,A-3-2-1-1,A,3,2,1,1,,,,Nación,10,SSF,CUOTA DE AUDITAJE CONTRANAL,$ 0.00,"$ 85,387,964.00",$ 0.00,"$ 85,387,964.00",$ 0.00,"$ 85,387,964.00",$ 0.00,"$ 85,387,964.00","$ 85,387,964.00","$ 85,387,964.00","$ 85,387,964.00"
