IDENTIFICACION,DESCRIPCION,,,Niv1,Niv2,Niv3,Niv4,Num,Con,Des1,Des2,Des3,Des4,Des5,Des6,Des7,Des8,Des9,Des10,Des11,Des12,Des13,,,Des14,Descripción,,,AFORO INICIAL,,MODIFICACIONES AFORO,AFORO VIGENTE,RECAUDO EN EFECTIVO MES,,,,RECAUDO EN EFECTIVO ACUMULADO,DEVOLUCIONES PAGADAS ACUMULADAS,RECAUDO EN EFECTIVO ACUMULADO NETO,SALDO DE AFORO POR RECAUDAR
01-01-01,SENADO DE LA REPÚBLICA,,,1,,,,,,,,,,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,,,"0,00",,"0,00","0,00","287.449.251,00",,,,"479.274.005,00","0,00","479.274.005,00","-479.274.005,00"
,,,,1,2,,,,,,,,,,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,,,"0,00",,"0,00","0,00","287.449.251,00",,,,"479.274.005,00","0,00","479.274.005,00","-479.274.005,00"
,,,,1,2,1,,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","287.449.251,00",,,,"479.274.005,00","0,00","479.274.005,00","-479.274.005,00"
,,,,1,2,1,0,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","287.449.251,00",,,,"479.274.005,00","0,00","479.274.005,00","-479.274.005,00"
,,,,1,2,1,0,2,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","287.449.251,00",,,,"479.274.005,00","0,00","479.274.005,00","-479.274.005,00"
,,,,1,2,1,0,2,1,,,,,,,,,,,,,,,,,TASAS,,,"0,00",,"0,00","0,00","287.449.251,00",,,,"479.222.297,00","0,00","479.222.297,00","-479.222.297,00"
,,,,1,2,1,0,2,1,3,,,,,,,,,,,,,,,,CREDENCIALES Y CARNETS,,,"0,00",,"0,00","0,00","517.172,00",,,,"4.551.014,00","0,00","4.551.014,00","-4.551.014,00"
,,,,1,2,1,0,2,1,6,,,,,,,,,,,,,,,,ARRENDAMIENTOS,,,"0,00",,"0,00","0,00","286.932.079,00",,,,"474.671.283,00","0,00","474.671.283,00","-474.671.283,00"
,,,,1,2,1,0,2,2,,,,,,,,,,,,,,,,,MULTAS,,,"0,00",,"0,00","0,00","0,00",,,,"51.708,00","0,00","51.708,00","-51.708,00"
,,,,1,2,1,0,2,2,5,,,,,,,,,,,,,,,,OTRAS MULTAS,,,"0,00",,"0,00","0,00","0,00",,,,"51.708,00","0,00","51.708,00","-51.708,00"
,,,,2,,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,,,"0,00",,"0,00","0,00","287.350.852,00",,,,"337.062.980,68","0,00","337.062.980,68","-337.062.980,68"
,,,,2,8,,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","287.350.852,00",,,,"337.062.980,68","0,00","337.062.980,68","-337.062.980,68"
,,,,2,8,0,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","287.350.852,00",,,,"337.062.980,68","0,00","337.062.980,68","-337.062.980,68"
,,,,2,8,0,0,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","287.350.852,00",,,,"337.062.980,68","0,00","337.062.980,68","-337.062.980,68"
,,,,2,8,0,0,1,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","287.350.852,00",,,,"337.062.980,68","0,00","337.062.980,68","-337.062.980,68"
,,,,2,8,0,0,1,3,,,,,,,,,,,,,,,,,FOTOCOPIAS,,,"0,00",,"0,00","0,00","31.600,00",,,,"31.600,00","0,00","31.600,00","-31.600,00"
,,,,2,8,0,0,1,9,,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","287.319.252,00",,,,"337.031.380,68","0,00","337.031.380,68","-337.031.380,68"
,,,,2,8,0,0,1,9,1,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,,,"0,00",,"0,00","0,00","287.319.252,00",,,,"336.919.506,00","0,00","336.919.506,00","-336.919.506,00"
,,,,2,8,0,0,1,9,3,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-INVERSION,,,"0,00",,"0,00","0,00","0,00",,,,"111.874,68","0,00","111.874,68","-111.874,68"
01-01-02,CÁMARA DE REPRESENTANTES,,,1,,,,,,,,,,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,,,"0,00",,"0,00","0,00","1.561.830,00",,,,"5.957.420,00","0,00","5.957.420,00","-5.957.420,00"
,,,,1,2,,,,,,,,,,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,,,"0,00",,"0,00","0,00","1.561.830,00",,,,"5.957.420,00","0,00","5.957.420,00","-5.957.420,00"
,,,,1,2,1,,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","1.561.830,00",,,,"5.957.420,00","0,00","5.957.420,00","-5.957.420,00"
,,,,1,2,1,0,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","1.561.830,00",,,,"5.957.420,00","0,00","5.957.420,00","-5.957.420,00"
,,,,1,2,1,0,2,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","1.561.830,00",,,,"5.957.420,00","0,00","5.957.420,00","-5.957.420,00"
,,,,1,2,1,0,2,1,,,,,,,,,,,,,,,,,TASAS,,,"0,00",,"0,00","0,00","1.561.830,00",,,,"5.957.420,00","0,00","5.957.420,00","-5.957.420,00"
,,,,1,2,1,0,2,1,3,,,,,,,,,,,,,,,,CREDENCIALES Y CARNETS,,,"0,00",,"0,00","0,00","1.561.830,00",,,,"5.957.420,00","0,00","5.957.420,00","-5.957.420,00"
,,,,2,,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,,,"0,00",,"0,00","0,00","164.482,00",,,,"99.258.365,21","0,00","99.258.365,21","-99.258.365,21"
,,,,2,8,,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","164.482,00",,,,"99.258.365,21","0,00","99.258.365,21","-99.258.365,21"
,,,,2,8,0,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","164.482,00",,,,"99.258.365,21","0,00","99.258.365,21","-99.258.365,21"
,,,,2,8,0,0,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","164.482,00",,,,"99.258.365,21","0,00","99.258.365,21","-99.258.365,21"
,,,,2,8,0,0,1,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","164.482,00",,,,"99.258.365,21","0,00","99.258.365,21","-99.258.365,21"
,,,,2,8,0,0,1,3,,,,,,,,,,,,,,,,,FOTOCOPIAS,,,"0,00",,"0,00","0,00","35.730,00",,,,"290.517,00","0,00","290.517,00","-290.517,00"
,,,,2,8,0,0,1,9,,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","128.752,00",,,,"98.967.848,21","0,00","98.967.848,21","-98.967.848,21"
,,,,2,8,0,0,1,9,1,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,,,"0,00",,"0,00","0,00","128.752,00",,,,"23.637.451,21","0,00","23.637.451,21","-23.637.451,21"
,,,,2,8,0,0,1,9,4,,,,,,,,,,,,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","0,00",,,,"75.330.397,00","0,00","75.330.397,00","-75.330.397,00"
02-01-01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,,,1,,,,,,,,,,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,,,"0,00",,"0,00","0,00","0,00",,,,"60.130.675,00","0,00","60.130.675,00","-60.130.675,00"
,,,,1,2,,,,,,,,,,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,,,"0,00",,"0,00","0,00","0,00",,,,"60.130.675,00","0,00","60.130.675,00","-60.130.675,00"
,,,,1,2,1,,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","0,00",,,,"60.130.675,00","0,00","60.130.675,00","-60.130.675,00"
,,,,1,2,1,0,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","0,00",,,,"60.130.675,00","0,00","60.130.675,00","-60.130.675,00"
,,,,1,2,1,0,2,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","0,00",,,,"60.130.675,00","0,00","60.130.675,00","-60.130.675,00"
,,,,1,2,1,0,2,2,,,,,,,,,,,,,,,,,MULTAS,,,"0,00",,"0,00","0,00","0,00",,,,"60.130.675,00","0,00","60.130.675,00","-60.130.675,00"
,,,,1,2,1,0,2,2,5,,,,,,,,,,,,,,,,OTRAS MULTAS,,,"0,00",,"0,00","0,00","0,00",,,,"60.130.675,00","0,00","60.130.675,00","-60.130.675,00"
,,,,2,,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,,,"0,00",,"0,00","0,00","749.869.222,97",,,,"34.457.556.633,28","895.970.190,42","33.561.586.442,86","-33.561.586.442,86"
