IDENTIFICACION,DESCRIPCION,Niv1,Niv2,,Niv3,,Niv4,Num,Con,Des1,,Des2,Des3,Des4,Descripción,DERECHOS CAUSADOS BRUTO,DERECHOS CASTIGADOS,DEVOLUCIONES CAUSADAS,,DERECHOS CAUSADOS NETO,RECAUDO EN EFECTIVO,,,DEVOLUCIONES PAGADAS EFECTIVO,"TOTAL RECAUDO EFECTIVO
NETO",RECAUDO EN TITULOS,,,,DEVOLUCIONES PAGADAS TITULOS,TOTAL RECAUDOS TITULOS,RECAUDO EN COMPENSACIONES,TOTAL RECAUDO NETO,PENDIENTE DE COBRO ,,,
01-01-01,SENADO DE LA REPÚBLICA,1,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,"479.274.005,00","0,00","0,00",,"479.274.005,00","479.274.005,00",,,"0,00","479.274.005,00","0,00",,,,"0,00","0,00","0,00","479.274.005,00","0,00",,,
,,1,2,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,"479.274.005,00","0,00","0,00",,"479.274.005,00","479.274.005,00",,,"0,00","479.274.005,00","0,00",,,,"0,00","0,00","0,00","479.274.005,00","0,00",,,
,,1,2,,1,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","479.274.005,00","0,00","0,00",,"479.274.005,00","479.274.005,00",,,"0,00","479.274.005,00","0,00",,,,"0,00","0,00","0,00","479.274.005,00","0,00",,,
,,1,2,,1,,0,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","479.274.005,00","0,00","0,00",,"479.274.005,00","479.274.005,00",,,"0,00","479.274.005,00","0,00",,,,"0,00","0,00","0,00","479.274.005,00","0,00",,,
,,1,2,,1,,0,2,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","479.274.005,00","0,00","0,00",,"479.274.005,00","479.274.005,00",,,"0,00","479.274.005,00","0,00",,,,"0,00","0,00","0,00","479.274.005,00","0,00",,,
,,1,2,,1,,0,2,1,,,,,,TASAS,"479.222.297,00","0,00","0,00",,"479.222.297,00","479.222.297,00",,,"0,00","479.222.297,00","0,00",,,,"0,00","0,00","0,00","479.222.297,00","0,00",,,
,,1,2,,1,,0,2,1,3,,,,,CREDENCIALES Y CARNETS,"4.551.014,00","0,00","0,00",,"4.551.014,00","4.551.014,00",,,"0,00","4.551.014,00","0,00",,,,"0,00","0,00","0,00","4.551.014,00","0,00",,,
,,1,2,,1,,0,2,1,6,,,,,ARRENDAMIENTOS,"474.671.283,00","0,00","0,00",,"474.671.283,00","474.671.283,00",,,"0,00","474.671.283,00","0,00",,,,"0,00","0,00","0,00","474.671.283,00","0,00",,,
,,1,2,,1,,0,2,2,,,,,,MULTAS,"51.708,00","0,00","0,00",,"51.708,00","51.708,00",,,"0,00","51.708,00","0,00",,,,"0,00","0,00","0,00","51.708,00","0,00",,,
,,1,2,,1,,0,2,2,5,,,,,OTRAS MULTAS,"51.708,00","0,00","0,00",,"51.708,00","51.708,00",,,"0,00","51.708,00","0,00",,,,"0,00","0,00","0,00","51.708,00","0,00",,,
,,2,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,"337.062.980,68","0,00","0,00",,"337.062.980,68","337.062.980,68",,,"0,00","337.062.980,68","0,00",,,,"0,00","0,00","0,00","337.062.980,68","0,00",,,
,,2,8,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"337.062.980,68","0,00","0,00",,"337.062.980,68","337.062.980,68",,,"0,00","337.062.980,68","0,00",,,,"0,00","0,00","0,00","337.062.980,68","0,00",,,
,,2,8,,0,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"337.062.980,68","0,00","0,00",,"337.062.980,68","337.062.980,68",,,"0,00","337.062.980,68","0,00",,,,"0,00","0,00","0,00","337.062.980,68","0,00",,,
,,2,8,,0,,0,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"337.062.980,68","0,00","0,00",,"337.062.980,68","337.062.980,68",,,"0,00","337.062.980,68","0,00",,,,"0,00","0,00","0,00","337.062.980,68","0,00",,,
,,2,8,,0,,0,1,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"337.062.980,68","0,00","0,00",,"337.062.980,68","337.062.980,68",,,"0,00","337.062.980,68","0,00",,,,"0,00","0,00","0,00","337.062.980,68","0,00",,,
,,2,8,,0,,0,1,3,,,,,,FOTOCOPIAS,"31.600,00","0,00","0,00",,"31.600,00","31.600,00",,,"0,00","31.600,00","0,00",,,,"0,00","0,00","0,00","31.600,00","0,00",,,
,,2,8,,0,,0,1,9,,,,,,REINTEGROS VIGENCIAS ANTERIORES,"337.031.380,68","0,00","0,00",,"337.031.380,68","337.031.380,68",,,"0,00","337.031.380,68","0,00",,,,"0,00","0,00","0,00","337.031.380,68","0,00",,,
,,2,8,,0,,0,1,9,1,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,"336.919.506,00","0,00","0,00",,"336.919.506,00","336.919.506,00",,,"0,00","336.919.506,00","0,00",,,,"0,00","0,00","0,00","336.919.506,00","0,00",,,
,,2,8,,0,,0,1,9,3,,,,,REINTEGROS VIGENCIAS ANTERIORES-INVERSION,"111.874,68","0,00","0,00",,"111.874,68","111.874,68",,,"0,00","111.874,68","0,00",,,,"0,00","0,00","0,00","111.874,68","0,00",,,
01-01-02,CÁMARA DE REPRESENTANTES,1,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,"5.957.420,00","0,00","0,00",,"5.957.420,00","5.957.420,00",,,"0,00","5.957.420,00","0,00",,,,"0,00","0,00","0,00","5.957.420,00","0,00",,,
,,1,2,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,"5.957.420,00","0,00","0,00",,"5.957.420,00","5.957.420,00",,,"0,00","5.957.420,00","0,00",,,,"0,00","0,00","0,00","5.957.420,00","0,00",,,
,,1,2,,1,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","5.957.420,00","0,00","0,00",,"5.957.420,00","5.957.420,00",,,"0,00","5.957.420,00","0,00",,,,"0,00","0,00","0,00","5.957.420,00","0,00",,,
,,1,2,,1,,0,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","5.957.420,00","0,00","0,00",,"5.957.420,00","5.957.420,00",,,"0,00","5.957.420,00","0,00",,,,"0,00","0,00","0,00","5.957.420,00","0,00",,,
,,1,2,,1,,0,2,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","5.957.420,00","0,00","0,00",,"5.957.420,00","5.957.420,00",,,"0,00","5.957.420,00","0,00",,,,"0,00","0,00","0,00","5.957.420,00","0,00",,,
,,1,2,,1,,0,2,1,,,,,,TASAS,"5.957.420,00","0,00","0,00",,"5.957.420,00","5.957.420,00",,,"0,00","5.957.420,00","0,00",,,,"0,00","0,00","0,00","5.957.420,00","0,00",,,
,,1,2,,1,,0,2,1,3,,,,,CREDENCIALES Y CARNETS,"5.957.420,00","0,00","0,00",,"5.957.420,00","5.957.420,00",,,"0,00","5.957.420,00","0,00",,,,"0,00","0,00","0,00","5.957.420,00","0,00",,,
,,2,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,"99.258.365,21","0,00","0,00",,"99.258.365,21","99.258.365,21",,,"0,00","99.258.365,21","0,00",,,,"0,00","0,00","0,00","99.258.365,21","0,00",,,
,,2,8,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"99.258.365,21","0,00","0,00",,"99.258.365,21","99.258.365,21",,,"0,00","99.258.365,21","0,00",,,,"0,00","0,00","0,00","99.258.365,21","0,00",,,
,,2,8,,0,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"99.258.365,21","0,00","0,00",,"99.258.365,21","99.258.365,21",,,"0,00","99.258.365,21","0,00",,,,"0,00","0,00","0,00","99.258.365,21","0,00",,,
,,2,8,,0,,0,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"99.258.365,21","0,00","0,00",,"99.258.365,21","99.258.365,21",,,"0,00","99.258.365,21","0,00",,,,"0,00","0,00","0,00","99.258.365,21","0,00",,,
,,2,8,,0,,0,1,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"99.258.365,21","0,00","0,00",,"99.258.365,21","99.258.365,21",,,"0,00","99.258.365,21","0,00",,,,"0,00","0,00","0,00","99.258.365,21","0,00",,,
,,2,8,,0,,0,1,3,,,,,,FOTOCOPIAS,"290.517,00","0,00","0,00",,"290.517,00","290.517,00",,,"0,00","290.517,00","0,00",,,,"0,00","0,00","0,00","290.517,00","0,00",,,
,,2,8,,0,,0,1,9,,,,,,REINTEGROS VIGENCIAS ANTERIORES,"98.967.848,21","0,00","0,00",,"98.967.848,21","98.967.848,21",,,"0,00","98.967.848,21","0,00",,,,"0,00","0,00","0,00","98.967.848,21","0,00",,,
,,2,8,,0,,0,1,9,1,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,"23.637.451,21","0,00","0,00",,"23.637.451,21","23.637.451,21",,,"0,00","23.637.451,21","0,00",,,,"0,00","0,00","0,00","23.637.451,21","0,00",,,
,,2,8,,0,,0,1,9,4,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,"75.330.397,00","0,00","0,00",,"75.330.397,00","75.330.397,00",,,"0,00","75.330.397,00","0,00",,,,"0,00","0,00","0,00","75.330.397,00","0,00",,,
02-01-01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,1,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,"60.130.675,00","0,00","0,00",,"60.130.675,00","60.130.675,00",,,"0,00","60.130.675,00","0,00",,,,"0,00","0,00","0,00","60.130.675,00","0,00",,,
,,1,2,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,"60.130.675,00","0,00","0,00",,"60.130.675,00","60.130.675,00",,,"0,00","60.130.675,00","0,00",,,,"0,00","0,00","0,00","60.130.675,00","0,00",,,
,,1,2,,1,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","60.130.675,00","0,00","0,00",,"60.130.675,00","60.130.675,00",,,"0,00","60.130.675,00","0,00",,,,"0,00","0,00","0,00","60.130.675,00","0,00",,,
,,1,2,,1,,0,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","60.130.675,00","0,00","0,00",,"60.130.675,00","60.130.675,00",,,"0,00","60.130.675,00","0,00",,,,"0,00","0,00","0,00","60.130.675,00","0,00",,,
,,1,2,,1,,0,2,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","60.130.675,00","0,00","0,00",,"60.130.675,00","60.130.675,00",,,"0,00","60.130.675,00","0,00",,,,"0,00","0,00","0,00","60.130.675,00","0,00",,,
,,1,2,,1,,0,2,2,,,,,,MULTAS,"60.130.675,00","0,00","0,00",,"60.130.675,00","60.130.675,00",,,"0,00","60.130.675,00","0,00",,,,"0,00","0,00","0,00","60.130.675,00","0,00",,,
,,1,2,,1,,0,2,2,5,,,,,OTRAS MULTAS,"60.130.675,00","0,00","0,00",,"60.130.675,00","60.130.675,00",,,"0,00","60.130.675,00","0,00",,,,"0,00","0,00","0,00","60.130.675,00","0,00",,,
,,2,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,"34.457.556.633,28","0,00","895.970.190,42",,"33.561.586.442,86","34.457.556.633,28",,,"895.970.190,42","33.561.586.442,86","0,00",,,,"0,00","0,00","0,00","33.561.586.442,86","0,00",,,
,,2,4,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"925.348.970,48","0,00","0,00",,"925.348.970,48","925.348.970,48",,,"0,00","925.348.970,48","0,00",,,,"0,00","0,00","0,00","925.348.970,48","0,00",,,
,,2,4,,0,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"925.348.970,48","0,00","0,00",,"925.348.970,48","925.348.970,48",,,"0,00","925.348.970,48","0,00",,,,"0,00","0,00","0,00","925.348.970,48","0,00",,,
,,2,4,,0,,0,,,,,,,,RENDIMIENTOS FINANCIEROS,"925.348.970,48","0,00","0,00",,"925.348.970,48","925.348.970,48",,,"0,00","925.348.970,48","0,00",,,,"0,00","0,00","0,00","925.348.970,48","0,00",,,
,,2,4,,0,,0,1,,,,,,,RENDIMIENTOS FINANCIEROS,"925.348.970,48","0,00","0,00",,"925.348.970,48","925.348.970,48",,,"0,00","925.348.970,48","0,00",,,,"0,00","0,00","0,00","925.348.970,48","0,00",,,
,,2,4,,0,,0,1,1,,,,,,RENDIMIENTOS SOBRE DEPÓSITOS EN ADMINISTRACION,"919.746.684,77","0,00","0,00",,"919.746.684,77","919.746.684,77",,,"0,00","919.746.684,77","0,00",,,,"0,00","0,00","0,00","919.746.684,77","0,00",,,
,,2,4,,0,,0,1,8,,,,,,RENDIMIENTOS FINANCIEROS DE INVERSIONES,"5.602.285,71","0,00","0,00",,"5.602.285,71","5.602.285,71",,,"0,00","5.602.285,71","0,00",,,,"0,00","0,00","0,00","5.602.285,71","0,00",,,
,,2,7,,,,,,,,,,,,OTROS RECURSOS DE CAPITAL,"0,00","0,00","895.970.190,42",,"-895.970.190,42","0,00",,,"895.970.190,42","-895.970.190,42","0,00",,,,"0,00","0,00","0,00","-895.970.190,42","0,00",,,
,,2,7,,0,,,,,,,,,,OTROS RECURSOS DE CAPITAL,"0,00","0,00","895.970.190,42",,"-895.970.190,42","0,00",,,"895.970.190,42","-895.970.190,42","0,00",,,,"0,00","0,00","0,00","-895.970.190,42","0,00",,,
,,2,7,,0,,0,,,,,,,,OTROS RECURSOS DE CAPITAL,"0,00","0,00","895.970.190,42",,"-895.970.190,42","0,00",,,"895.970.190,42","-895.970.190,42","0,00",,,,"0,00","0,00","0,00","-895.970.190,42","0,00",,,
,,2,7,,0,,0,1,,,,,,,OTROS ,"0,00","0,00","895.970.190,42",,"-895.970.190,42","0,00",,,"895.970.190,42","-895.970.190,42","0,00",,,,"0,00","0,00","0,00","-895.970.190,42","0,00",,,
,,2,7,,0,,0,1,2,,,,,,FRISCO,"0,00","0,00","895.970.190,42",,"-895.970.190,42","0,00",,,"895.970.190,42","-895.970.190,42","0,00",,,,"0,00","0,00","0,00","-895.970.190,42","0,00",,,
,,2,8,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"33.479.903.430,26","0,00","0,00",,"33.479.903.430,26","33.479.903.430,26",,,"0,00","33.479.903.430,26","0,00",,,,"0,00","0,00","0,00","33.479.903.430,26","0,00",,,
,,2,8,,0,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"33.479.903.430,26","0,00","0,00",,"33.479.903.430,26","33.479.903.430,26",,,"0,00","33.479.903.430,26","0,00",,,,"0,00","0,00","0,00","33.479.903.430,26","0,00",,,
,,2,8,,0,,0,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"33.479.903.430,26","0,00","0,00",,"33.479.903.430,26","33.479.903.430,26",,,"0,00","33.479.903.430,26","0,00",,,,"0,00","0,00","0,00","33.479.903.430,26","0,00",,,
,,2,8,,0,,0,1,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"33.479.903.430,26","0,00","0,00",,"33.479.903.430,26","33.479.903.430,26",,,"0,00","33.479.903.430,26","0,00",,,,"0,00","0,00","0,00","33.479.903.430,26","0,00",,,
,,2,8,,0,,0,1,2,,,,,,APROVECHAMIENTOS,"8.638.788,00","0,00","0,00",,"8.638.788,00","8.638.788,00",,,"0,00","8.638.788,00","0,00",,,,"0,00","0,00","0,00","8.638.788,00","0,00",,,
,,2,8,,0,,0,1,3,,,,,,FOTOCOPIAS,"605.828,51","0,00","0,00",,"605.828,51","605.828,51",,,"0,00","605.828,51","0,00",,,,"0,00","0,00","0,00","605.828,51","0,00",,,
,,2,8,,0,,0,1,4,,,,,,INDEMNIZACIONES,"9.105.082,00","0,00","0,00",,"9.105.082,00","9.105.082,00",,,"0,00","9.105.082,00","0,00",,,,"0,00","0,00","0,00","9.105.082,00","0,00",,,
,,2,8,,0,,0,1,5,,,,,,INTERES DE MORA,"6.765,66","0,00","0,00",,"6.765,66","6.765,66",,,"0,00","6.765,66","0,00",,,,"0,00","0,00","0,00","6.765,66","0,00",,,
,,2,8,,0,,0,1,8,,,,,,VENTA MATERIAL RECICLAJE E INSERVIBLE,"8.427.736,99","0,00","0,00",,"8.427.736,99","8.427.736,99",,,"0,00","8.427.736,99","0,00",,,,"0,00","0,00","0,00","8.427.736,99","0,00",,,
