ANIO_TRIMESTRE;COD_CHIP;NOM_CHIP;COD_AMB;NOM_AMB;COD_DEPAR;NOM_DEPAR;COD_MUN;NOM_MUN;COD_CATEGORIA;NOM_CATEGORIA;DIPUTADOS;CONCEJALES;COD_VIG;NOM_VIG;COD_DEP;NOM_DEP;COD_CUENTA;NOM_CUENTA;COD_REC;NOM_REC;COD_ORIG;NOM_ORIG;COD_DEST;NOM_DEST;COD_FIN;NOM_FIN;COD_SIT;NOM_SIT;APR_INICIAL;ADICIONES;REDUCCIONES;CANCELACIONES;CREDITO;CONTRACREDITO;APLAZAMIENTO;DESAPLAZAMIENTO;APR_DEFINITIVA;CDP;REV_CDP;NETO_CDP;COMPR_CON_ANTICIPOS;COMPR_SIN_ANTICIPOS;REV_COMPROMISOS;NETO_COMPROMISOS;OBLIGACIONES;REV_OBLIGACIONES;NETO_OBLIGACIONES;PAGOS;ANU_PAGOS;NETO_PAGOS;RESERVAS_POT;CUENTAS_PAGAR_POT;OBLIGACIONES_EJECUTAR_POT
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.01.01                                   ;Sueldos;10;Recursos Corrientes;002;Recursos corrientes de Impuestos;106;Gastos de Funcionamiento - Otros;70131     ;Servicios generales de personal; ;NULL;98.759.820.032;0;0;0;79.762.190;338.539.912;0;0;98.501.042.310;89.608.681.298;0;89.608.681.298;0;0;0;0;0;0;0;0;0;0;0;0;0
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.01.01                                   ;Sueldos;10;Recursos Corrientes;010;Recursos corrientes de cuotas de fiscalización;108;Destino a organismos de control fiscal;70131     ;Servicios generales de personal; ;NULL;4.180.000.000;0;0;0;0;1.788.309;0;0;4.178.211.691;4.178.211.691;0;4.178.211.691;0;0;0;0;0;0;0;0;0;0;0;0;0
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.01.01                                   ;Sueldos;10;Recursos Corrientes;013;Recursos corrientes de transferencias del SGP para inversión;002;Educación - General;70131     ;Servicios generales de personal; ;NULL;706.658.501;0;0;0;0;150.844.909;0;0;555.813.592;555.813.592;0;555.813.592;0;0;0;0;0;0;0;0;0;0;0;0;0
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.01.01                                   ;Sueldos;10;Recursos Corrientes;021;Recursos o ingresos corrientes de Rentas cedidas - Prestación;010;Salud - General;70131     ;Servicios generales de personal; ;NULL;4.421.558.000;0;0;0;0;0;0;0;4.421.558.000;4.181.599.209;0;4.181.599.209;0;0;0;0;0;0;0;0;0;0;0;0;0
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.09                                      ;Bonificación por Dirección;10;Recursos Corrientes;002;Recursos corrientes de Impuestos;106;Gastos de Funcionamiento - Otros;70131     ;Servicios generales de personal; ;NULL;63.180.000;0;0;0;0;0;0;0;63.180.000;61.854.699;0;61.854.699;0;0;0;0;0;0;0;0;0;0;0;0;0
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.13.98                                   ;Horas Extras y Dias Festivos - sin diferenciar;10;Recursos Corrientes;002;Recursos corrientes de Impuestos;106;Gastos de Funcionamiento - Otros;70131     ;Servicios generales de personal; ;NULL;2.016.695.400;0;0;0;163.015.996;40.000.000;0;0;2.139.711.396;1.609.632.520;0;1.609.632.520;0;0;0;0;0;0;0;0;0;0;0;0;0
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.13.98                                   ;Horas Extras y Dias Festivos - sin diferenciar;10;Recursos Corrientes;005;Recursos corrientes de Tasas;106;Gastos de Funcionamiento - Otros;70131     ;Servicios generales de personal; ;NULL;87.877.000;0;0;0;0;0;0;0;87.877.000;84.470.967;0;84.470.967;0;0;0;0;0;0;0;0;0;0;0;0;0
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.13.98                                   ;Horas Extras y Dias Festivos - sin diferenciar;10;Recursos Corrientes;013;Recursos corrientes de transferencias del SGP para inversión;002;Educación - General;70131     ;Servicios generales de personal; ;NULL;13.294.589;0;0;0;0;122.358;0;0;13.172.231;13.172.231;0;13.172.231;0;0;0;0;0;0;0;0;0;0;0;0;0
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.13.98                                   ;Horas Extras y Dias Festivos - sin diferenciar;10;Recursos Corrientes;021;Recursos o ingresos corrientes de Rentas cedidas - Prestación;010;Salud - General;70131     ;Servicios generales de personal; ;NULL;108.599.000;0;0;0;0;0;0;0;108.599.000;44.688.908;0;44.688.908;0;0;0;0;0;0;0;0;0;0;0;0;0
20181201;110505000;DEPARTAMENTO DE ANTIOQUIA;21;ADMÓN CTRAL TERR - DEPTOS;05;ANTIOQUIA;05001;MEDELLÍN;E;Especial;26;0;1;Vigencia Actual;   ;NULL;2.1.01.01.17                                      ;Prima de Navidad;10;Recursos Corrientes;002;Recursos corrientes de Impuestos;106;Gastos de Funcionamiento - Otros;70131     ;Servicios generales de personal; ;NULL;34.337.501.568;0;0;0;10.101.696;1.478.137.468;0;0;32.869.465.796;20.376.832.192;0;20.376.832.192;0;0;0;0;0;0;0;0;0;0;0;0;0
